geometry
"POLYGON ((4.64663 52.26618, 4.6495812704125425 52.26618, 4.6495812704125425 52.2679818018018, 4.64663 52.2679818018018, 4.64663 52.26618))"
"POLYGON ((4.714509219488478 52.26618, 4.71746048990102 52.26618, 4.71746048990102 52.2679818018018, 4.714509219488478 52.2679818018018, 4.714509219488478 52.26618))"
"POLYGON ((4.71746048990102 52.26618, 4.720411760313563 52.26618, 4.720411760313563 52.2679818018018, 4.71746048990102 52.2679818018018, 4.71746048990102 52.26618))"
"POLYGON ((4.720411760313563 52.26618, 4.723363030726105 52.26618, 4.723363030726105 52.2679818018018, 4.720411760313563 52.2679818018018, 4.720411760313563 52.26618))"
"POLYGON ((4.723363030726105 52.26618, 4.726314301138648 52.26618, 4.726314301138648 52.2679818018018, 4.723363030726105 52.2679818018018, 4.723363030726105 52.26618))"
"POLYGON ((4.726314301138648 52.26618, 4.72926557155119 52.26618, 4.72926557155119 52.2679818018018, 4.726314301138648 52.2679818018018, 4.726314301138648 52.26618))"
"POLYGON ((4.72926557155119 52.26618, 4.732216841963733 52.26618, 4.732216841963733 52.2679818018018, 4.72926557155119 52.2679818018018, 4.72926557155119 52.26618))"
"POLYGON ((4.732216841963733 52.26618, 4.735168112376275 52.26618, 4.735168112376275 52.2679818018018, 4.732216841963733 52.2679818018018, 4.732216841963733 52.26618))"
"POLYGON ((4.735168112376275 52.26618, 4.738119382788818 52.26618, 4.738119382788818 52.2679818018018, 4.735168112376275 52.2679818018018, 4.735168112376275 52.26618))"
"POLYGON ((4.738119382788818 52.26618, 4.74107065320136 52.26618, 4.74107065320136 52.2679818018018, 4.738119382788818 52.2679818018018, 4.738119382788818 52.26618))"
"POLYGON ((4.74107065320136 52.26618, 4.744021923613903 52.26618, 4.744021923613903 52.2679818018018, 4.74107065320136 52.2679818018018, 4.74107065320136 52.26618))"
"POLYGON ((4.744021923613903 52.26618, 4.746973194026445 52.26618, 4.746973194026445 52.2679818018018, 4.744021923613903 52.2679818018018, 4.744021923613903 52.26618))"
"POLYGON ((4.746973194026445 52.26618, 4.749924464438988 52.26618, 4.749924464438988 52.2679818018018, 4.746973194026445 52.2679818018018, 4.746973194026445 52.26618))"
"POLYGON ((4.749924464438988 52.26618, 4.75287573485153 52.26618, 4.75287573485153 52.2679818018018, 4.749924464438988 52.2679818018018, 4.749924464438988 52.26618))"
"POLYGON ((4.75287573485153 52.26618, 4.755827005264073 52.26618, 4.755827005264073 52.2679818018018, 4.75287573485153 52.2679818018018, 4.75287573485153 52.26618))"
"POLYGON ((4.755827005264073 52.26618, 4.758778275676615 52.26618, 4.758778275676615 52.2679818018018, 4.755827005264073 52.2679818018018, 4.755827005264073 52.26618))"
"POLYGON ((4.758778275676615 52.26618, 4.761729546089158 52.26618, 4.761729546089158 52.2679818018018, 4.758778275676615 52.2679818018018, 4.758778275676615 52.26618))"
"POLYGON ((4.761729546089158 52.26618, 4.7646808165017 52.26618, 4.7646808165017 52.2679818018018, 4.761729546089158 52.2679818018018, 4.761729546089158 52.26618))"
"POLYGON ((4.7646808165017 52.26618, 4.767632086914243 52.26618, 4.767632086914243 52.2679818018018, 4.7646808165017 52.2679818018018, 4.7646808165017 52.26618))"
"POLYGON ((4.767632086914243 52.26618, 4.770583357326785 52.26618, 4.770583357326785 52.2679818018018, 4.767632086914243 52.2679818018018, 4.767632086914243 52.26618))"
"POLYGON ((4.770583357326785 52.26618, 4.773534627739328 52.26618, 4.773534627739328 52.2679818018018, 4.770583357326785 52.2679818018018, 4.770583357326785 52.26618))"
"POLYGON ((4.773534627739328 52.26618, 4.77648589815187 52.26618, 4.77648589815187 52.2679818018018, 4.773534627739328 52.2679818018018, 4.773534627739328 52.26618))"
"POLYGON ((4.77648589815187 52.26618, 4.779437168564413 52.26618, 4.779437168564413 52.2679818018018, 4.77648589815187 52.2679818018018, 4.77648589815187 52.26618))"
"POLYGON ((4.779437168564413 52.26618, 4.782388438976955 52.26618, 4.782388438976955 52.2679818018018, 4.779437168564413 52.2679818018018, 4.779437168564413 52.26618))"
"POLYGON ((4.782388438976955 52.26618, 4.785339709389498 52.26618, 4.785339709389498 52.2679818018018, 4.782388438976955 52.2679818018018, 4.782388438976955 52.26618))"
"POLYGON ((4.785339709389498 52.26618, 4.78829097980204 52.26618, 4.78829097980204 52.2679818018018, 4.785339709389498 52.2679818018018, 4.785339709389498 52.26618))"
"POLYGON ((4.78829097980204 52.26618, 4.791242250214583 52.26618, 4.791242250214583 52.2679818018018, 4.78829097980204 52.2679818018018, 4.78829097980204 52.26618))"
"POLYGON ((4.791242250214583 52.26618, 4.794193520627125 52.26618, 4.794193520627125 52.2679818018018, 4.791242250214583 52.2679818018018, 4.791242250214583 52.26618))"
"POLYGON ((4.794193520627125 52.26618, 4.797144791039668 52.26618, 4.797144791039668 52.2679818018018, 4.794193520627125 52.2679818018018, 4.794193520627125 52.26618))"
"POLYGON ((4.797144791039668 52.26618, 4.80009606145221 52.26618, 4.80009606145221 52.2679818018018, 4.797144791039668 52.2679818018018, 4.797144791039668 52.26618))"
"POLYGON ((4.80009606145221 52.26618, 4.803047331864753 52.26618, 4.803047331864753 52.2679818018018, 4.80009606145221 52.2679818018018, 4.80009606145221 52.26618))"
"POLYGON ((4.803047331864753 52.26618, 4.805998602277295 52.26618, 4.805998602277295 52.2679818018018, 4.803047331864753 52.2679818018018, 4.803047331864753 52.26618))"
"POLYGON ((4.805998602277295 52.26618, 4.808949872689838 52.26618, 4.808949872689838 52.2679818018018, 4.805998602277295 52.2679818018018, 4.805998602277295 52.26618))"
"POLYGON ((4.808949872689838 52.26618, 4.81190114310238 52.26618, 4.81190114310238 52.2679818018018, 4.808949872689838 52.2679818018018, 4.808949872689838 52.26618))"
"POLYGON ((4.81190114310238 52.26618, 4.814852413514923 52.26618, 4.814852413514923 52.2679818018018, 4.81190114310238 52.2679818018018, 4.81190114310238 52.26618))"
"POLYGON ((4.814852413514923 52.26618, 4.817803683927465 52.26618, 4.817803683927465 52.2679818018018, 4.814852413514923 52.2679818018018, 4.814852413514923 52.26618))"
"POLYGON ((4.817803683927465 52.26618, 4.820754954340008 52.26618, 4.820754954340008 52.2679818018018, 4.817803683927465 52.2679818018018, 4.817803683927465 52.26618))"
"POLYGON ((4.820754954340008 52.26618, 4.82370622475255 52.26618, 4.82370622475255 52.2679818018018, 4.820754954340008 52.2679818018018, 4.820754954340008 52.26618))"
"POLYGON ((4.82370622475255 52.26618, 4.826657495165093 52.26618, 4.826657495165093 52.2679818018018, 4.82370622475255 52.2679818018018, 4.82370622475255 52.26618))"
"POLYGON ((4.826657495165093 52.26618, 4.829608765577635 52.26618, 4.829608765577635 52.2679818018018, 4.826657495165093 52.2679818018018, 4.826657495165093 52.26618))"
"POLYGON ((4.829608765577635 52.26618, 4.832560035990178 52.26618, 4.832560035990178 52.2679818018018, 4.829608765577635 52.2679818018018, 4.829608765577635 52.26618))"
"POLYGON ((4.832560035990178 52.26618, 4.83551130640272 52.26618, 4.83551130640272 52.2679818018018, 4.832560035990178 52.2679818018018, 4.832560035990178 52.26618))"
"POLYGON ((4.83551130640272 52.26618, 4.838462576815263 52.26618, 4.838462576815263 52.2679818018018, 4.83551130640272 52.2679818018018, 4.83551130640272 52.26618))"
"POLYGON ((4.838462576815263 52.26618, 4.841413847227805 52.26618, 4.841413847227805 52.2679818018018, 4.838462576815263 52.2679818018018, 4.838462576815263 52.26618))"
"POLYGON ((4.841413847227805 52.26618, 4.844365117640348 52.26618, 4.844365117640348 52.2679818018018, 4.841413847227805 52.2679818018018, 4.841413847227805 52.26618))"
"POLYGON ((4.844365117640348 52.26618, 4.8473163880528904 52.26618, 4.8473163880528904 52.2679818018018, 4.844365117640348 52.2679818018018, 4.844365117640348 52.26618))"
"POLYGON ((4.8473163880528904 52.26618, 4.850267658465433 52.26618, 4.850267658465433 52.2679818018018, 4.8473163880528904 52.2679818018018, 4.8473163880528904 52.26618))"
"POLYGON ((4.850267658465433 52.26618, 4.8532189288779755 52.26618, 4.8532189288779755 52.2679818018018, 4.850267658465433 52.2679818018018, 4.850267658465433 52.26618))"
"POLYGON ((4.8532189288779755 52.26618, 4.856170199290518 52.26618, 4.856170199290518 52.2679818018018, 4.8532189288779755 52.2679818018018, 4.8532189288779755 52.26618))"
"POLYGON ((4.856170199290518 52.26618, 4.8591214697030605 52.26618, 4.8591214697030605 52.2679818018018, 4.856170199290518 52.2679818018018, 4.856170199290518 52.26618))"
"POLYGON ((4.8591214697030605 52.26618, 4.862072740115603 52.26618, 4.862072740115603 52.2679818018018, 4.8591214697030605 52.2679818018018, 4.8591214697030605 52.26618))"
"POLYGON ((4.862072740115603 52.26618, 4.8650240105281455 52.26618, 4.8650240105281455 52.2679818018018, 4.862072740115603 52.2679818018018, 4.862072740115603 52.26618))"
"POLYGON ((4.8650240105281455 52.26618, 4.867975280940688 52.26618, 4.867975280940688 52.2679818018018, 4.8650240105281455 52.2679818018018, 4.8650240105281455 52.26618))"
"POLYGON ((4.867975280940688 52.26618, 4.8709265513532305 52.26618, 4.8709265513532305 52.2679818018018, 4.867975280940688 52.2679818018018, 4.867975280940688 52.26618))"
"POLYGON ((4.8709265513532305 52.26618, 4.873877821765773 52.26618, 4.873877821765773 52.2679818018018, 4.8709265513532305 52.2679818018018, 4.8709265513532305 52.26618))"
"POLYGON ((4.873877821765773 52.26618, 4.8768290921783155 52.26618, 4.8768290921783155 52.2679818018018, 4.873877821765773 52.2679818018018, 4.873877821765773 52.26618))"
"POLYGON ((4.8768290921783155 52.26618, 4.879780362590858 52.26618, 4.879780362590858 52.2679818018018, 4.8768290921783155 52.2679818018018, 4.8768290921783155 52.26618))"
"POLYGON ((4.879780362590858 52.26618, 4.8827316330034005 52.26618, 4.8827316330034005 52.2679818018018, 4.879780362590858 52.2679818018018, 4.879780362590858 52.26618))"
"POLYGON ((4.8827316330034005 52.26618, 4.885682903415943 52.26618, 4.885682903415943 52.2679818018018, 4.8827316330034005 52.2679818018018, 4.8827316330034005 52.26618))"
"POLYGON ((4.885682903415943 52.26618, 4.8886341738284855 52.26618, 4.8886341738284855 52.2679818018018, 4.885682903415943 52.2679818018018, 4.885682903415943 52.26618))"
"POLYGON ((4.8886341738284855 52.26618, 4.891585444241028 52.26618, 4.891585444241028 52.2679818018018, 4.8886341738284855 52.2679818018018, 4.8886341738284855 52.26618))"
"POLYGON ((4.891585444241028 52.26618, 4.8945367146535705 52.26618, 4.8945367146535705 52.2679818018018, 4.891585444241028 52.2679818018018, 4.891585444241028 52.26618))"
"POLYGON ((4.8945367146535705 52.26618, 4.897487985066113 52.26618, 4.897487985066113 52.2679818018018, 4.8945367146535705 52.2679818018018, 4.8945367146535705 52.26618))"
"POLYGON ((4.897487985066113 52.26618, 4.9004392554786556 52.26618, 4.9004392554786556 52.2679818018018, 4.897487985066113 52.2679818018018, 4.897487985066113 52.26618))"
"POLYGON ((4.9004392554786556 52.26618, 4.903390525891198 52.26618, 4.903390525891198 52.2679818018018, 4.9004392554786556 52.2679818018018, 4.9004392554786556 52.26618))"
"POLYGON ((4.903390525891198 52.26618, 4.906341796303741 52.26618, 4.906341796303741 52.2679818018018, 4.903390525891198 52.2679818018018, 4.903390525891198 52.26618))"
"POLYGON ((4.906341796303741 52.26618, 4.909293066716283 52.26618, 4.909293066716283 52.2679818018018, 4.906341796303741 52.2679818018018, 4.906341796303741 52.26618))"
"POLYGON ((4.909293066716283 52.26618, 4.912244337128826 52.26618, 4.912244337128826 52.2679818018018, 4.909293066716283 52.2679818018018, 4.909293066716283 52.26618))"
"POLYGON ((4.912244337128826 52.26618, 4.915195607541368 52.26618, 4.915195607541368 52.2679818018018, 4.912244337128826 52.2679818018018, 4.912244337128826 52.26618))"
"POLYGON ((4.915195607541368 52.26618, 4.918146877953911 52.26618, 4.918146877953911 52.2679818018018, 4.915195607541368 52.2679818018018, 4.915195607541368 52.26618))"
"POLYGON ((4.918146877953911 52.26618, 4.921098148366453 52.26618, 4.921098148366453 52.2679818018018, 4.918146877953911 52.2679818018018, 4.918146877953911 52.26618))"
"POLYGON ((4.921098148366453 52.26618, 4.924049418778996 52.26618, 4.924049418778996 52.2679818018018, 4.921098148366453 52.2679818018018, 4.921098148366453 52.26618))"
"POLYGON ((4.924049418778996 52.26618, 4.927000689191538 52.26618, 4.927000689191538 52.2679818018018, 4.924049418778996 52.2679818018018, 4.924049418778996 52.26618))"
"POLYGON ((4.927000689191538 52.26618, 4.929951959604081 52.26618, 4.929951959604081 52.2679818018018, 4.927000689191538 52.2679818018018, 4.927000689191538 52.26618))"
"POLYGON ((4.929951959604081 52.26618, 4.932903230016623 52.26618, 4.932903230016623 52.2679818018018, 4.929951959604081 52.2679818018018, 4.929951959604081 52.26618))"
"POLYGON ((4.932903230016623 52.26618, 4.935854500429166 52.26618, 4.935854500429166 52.2679818018018, 4.932903230016623 52.2679818018018, 4.932903230016623 52.26618))"
"POLYGON ((4.935854500429166 52.26618, 4.938805770841708 52.26618, 4.938805770841708 52.2679818018018, 4.935854500429166 52.2679818018018, 4.935854500429166 52.26618))"
"POLYGON ((4.938805770841708 52.26618, 4.941757041254251 52.26618, 4.941757041254251 52.2679818018018, 4.938805770841708 52.2679818018018, 4.938805770841708 52.26618))"
"POLYGON ((4.941757041254251 52.26618, 4.944708311666793 52.26618, 4.944708311666793 52.2679818018018, 4.941757041254251 52.2679818018018, 4.941757041254251 52.26618))"
"POLYGON ((4.944708311666793 52.26618, 4.947659582079336 52.26618, 4.947659582079336 52.2679818018018, 4.944708311666793 52.2679818018018, 4.944708311666793 52.26618))"
"POLYGON ((4.947659582079336 52.26618, 4.950610852491878 52.26618, 4.950610852491878 52.2679818018018, 4.947659582079336 52.2679818018018, 4.947659582079336 52.26618))"
"POLYGON ((4.950610852491878 52.26618, 4.953562122904421 52.26618, 4.953562122904421 52.2679818018018, 4.950610852491878 52.2679818018018, 4.950610852491878 52.26618))"
"POLYGON ((4.953562122904421 52.26618, 4.956513393316963 52.26618, 4.956513393316963 52.2679818018018, 4.953562122904421 52.2679818018018, 4.953562122904421 52.26618))"
"POLYGON ((4.956513393316963 52.26618, 4.959464663729506 52.26618, 4.959464663729506 52.2679818018018, 4.956513393316963 52.2679818018018, 4.956513393316963 52.26618))"
"POLYGON ((4.959464663729506 52.26618, 4.962415934142048 52.26618, 4.962415934142048 52.2679818018018, 4.959464663729506 52.2679818018018, 4.959464663729506 52.26618))"
"POLYGON ((4.962415934142048 52.26618, 4.965367204554591 52.26618, 4.965367204554591 52.2679818018018, 4.962415934142048 52.2679818018018, 4.962415934142048 52.26618))"
"POLYGON ((4.965367204554591 52.26618, 4.968318474967133 52.26618, 4.968318474967133 52.2679818018018, 4.965367204554591 52.2679818018018, 4.965367204554591 52.26618))"
"POLYGON ((4.968318474967133 52.26618, 4.971269745379676 52.26618, 4.971269745379676 52.2679818018018, 4.968318474967133 52.2679818018018, 4.968318474967133 52.26618))"
"POLYGON ((4.971269745379676 52.26618, 4.974221015792218 52.26618, 4.974221015792218 52.2679818018018, 4.971269745379676 52.2679818018018, 4.971269745379676 52.26618))"
"POLYGON ((4.974221015792218 52.26618, 4.977172286204761 52.26618, 4.977172286204761 52.2679818018018, 4.974221015792218 52.2679818018018, 4.974221015792218 52.26618))"
"POLYGON ((4.977172286204761 52.26618, 4.980123556617303 52.26618, 4.980123556617303 52.2679818018018, 4.977172286204761 52.2679818018018, 4.977172286204761 52.26618))"
"POLYGON ((4.980123556617303 52.26618, 4.983074827029846 52.26618, 4.983074827029846 52.2679818018018, 4.980123556617303 52.2679818018018, 4.980123556617303 52.26618))"
"POLYGON ((4.983074827029846 52.26618, 4.986026097442388 52.26618, 4.986026097442388 52.2679818018018, 4.983074827029846 52.2679818018018, 4.983074827029846 52.26618))"
"POLYGON ((4.986026097442388 52.26618, 4.988977367854931 52.26618, 4.988977367854931 52.2679818018018, 4.986026097442388 52.2679818018018, 4.986026097442388 52.26618))"
"POLYGON ((4.988977367854931 52.26618, 4.991928638267473 52.26618, 4.991928638267473 52.2679818018018, 4.988977367854931 52.2679818018018, 4.988977367854931 52.26618))"
"POLYGON ((4.991928638267473 52.26618, 4.994879908680016 52.26618, 4.994879908680016 52.2679818018018, 4.991928638267473 52.2679818018018, 4.991928638267473 52.26618))"
"POLYGON ((4.994879908680016 52.26618, 4.997831179092558 52.26618, 4.997831179092558 52.2679818018018, 4.994879908680016 52.2679818018018, 4.994879908680016 52.26618))"
"POLYGON ((4.997831179092558 52.26618, 5.000782449505101 52.26618, 5.000782449505101 52.2679818018018, 4.997831179092558 52.2679818018018, 4.997831179092558 52.26618))"
"POLYGON ((5.000782449505101 52.26618, 5.003733719917643 52.26618, 5.003733719917643 52.2679818018018, 5.000782449505101 52.2679818018018, 5.000782449505101 52.26618))"
"POLYGON ((5.003733719917643 52.26618, 5.006684990330186 52.26618, 5.006684990330186 52.2679818018018, 5.003733719917643 52.2679818018018, 5.003733719917643 52.26618))"
"POLYGON ((5.006684990330186 52.26618, 5.009636260742728 52.26618, 5.009636260742728 52.2679818018018, 5.006684990330186 52.2679818018018, 5.006684990330186 52.26618))"
"POLYGON ((5.009636260742728 52.26618, 5.012587531155271 52.26618, 5.012587531155271 52.2679818018018, 5.009636260742728 52.2679818018018, 5.009636260742728 52.26618))"
"POLYGON ((5.012587531155271 52.26618, 5.015538801567813 52.26618, 5.015538801567813 52.2679818018018, 5.012587531155271 52.2679818018018, 5.012587531155271 52.26618))"
"POLYGON ((5.015538801567813 52.26618, 5.018490071980356 52.26618, 5.018490071980356 52.2679818018018, 5.015538801567813 52.2679818018018, 5.015538801567813 52.26618))"
"POLYGON ((5.018490071980356 52.26618, 5.021441342392898 52.26618, 5.021441342392898 52.2679818018018, 5.018490071980356 52.2679818018018, 5.018490071980356 52.26618))"
"POLYGON ((5.021441342392898 52.26618, 5.024392612805441 52.26618, 5.024392612805441 52.2679818018018, 5.021441342392898 52.2679818018018, 5.021441342392898 52.26618))"
"POLYGON ((5.024392612805441 52.26618, 5.027343883217983 52.26618, 5.027343883217983 52.2679818018018, 5.024392612805441 52.2679818018018, 5.024392612805441 52.26618))"
"POLYGON ((5.027343883217983 52.26618, 5.030295153630526 52.26618, 5.030295153630526 52.2679818018018, 5.027343883217983 52.2679818018018, 5.027343883217983 52.26618))"
"POLYGON ((5.030295153630526 52.26618, 5.033246424043068 52.26618, 5.033246424043068 52.2679818018018, 5.030295153630526 52.2679818018018, 5.030295153630526 52.26618))"
"POLYGON ((5.033246424043068 52.26618, 5.036197694455611 52.26618, 5.036197694455611 52.2679818018018, 5.033246424043068 52.2679818018018, 5.033246424043068 52.26618))"
"POLYGON ((5.036197694455611 52.26618, 5.039148964868153 52.26618, 5.039148964868153 52.2679818018018, 5.036197694455611 52.2679818018018, 5.036197694455611 52.26618))"
"POLYGON ((5.039148964868153 52.26618, 5.042100235280696 52.26618, 5.042100235280696 52.2679818018018, 5.039148964868153 52.2679818018018, 5.039148964868153 52.26618))"
"POLYGON ((5.042100235280696 52.26618, 5.045051505693238 52.26618, 5.045051505693238 52.2679818018018, 5.042100235280696 52.2679818018018, 5.042100235280696 52.26618))"
"POLYGON ((5.045051505693238 52.26618, 5.048002776105781 52.26618, 5.048002776105781 52.2679818018018, 5.045051505693238 52.2679818018018, 5.045051505693238 52.26618))"
"POLYGON ((5.048002776105781 52.26618, 5.050954046518323 52.26618, 5.050954046518323 52.2679818018018, 5.048002776105781 52.2679818018018, 5.048002776105781 52.26618))"
"POLYGON ((5.050954046518323 52.26618, 5.053905316930866 52.26618, 5.053905316930866 52.2679818018018, 5.050954046518323 52.2679818018018, 5.050954046518323 52.26618))"
"POLYGON ((5.053905316930866 52.26618, 5.056856587343408 52.26618, 5.056856587343408 52.2679818018018, 5.053905316930866 52.2679818018018, 5.053905316930866 52.26618))"
"POLYGON ((5.056856587343408 52.26618, 5.059807857755951 52.26618, 5.059807857755951 52.2679818018018, 5.056856587343408 52.2679818018018, 5.056856587343408 52.26618))"
"POLYGON ((5.059807857755951 52.26618, 5.062759128168493 52.26618, 5.062759128168493 52.2679818018018, 5.059807857755951 52.2679818018018, 5.059807857755951 52.26618))"
"POLYGON ((5.062759128168493 52.26618, 5.065710398581036 52.26618, 5.065710398581036 52.2679818018018, 5.062759128168493 52.2679818018018, 5.062759128168493 52.26618))"
"POLYGON ((5.065710398581036 52.26618, 5.068661668993578 52.26618, 5.068661668993578 52.2679818018018, 5.065710398581036 52.2679818018018, 5.065710398581036 52.26618))"
"POLYGON ((5.068661668993578 52.26618, 5.071612939406121 52.26618, 5.071612939406121 52.2679818018018, 5.068661668993578 52.2679818018018, 5.068661668993578 52.26618))"
"POLYGON ((5.071612939406121 52.26618, 5.074564209818663 52.26618, 5.074564209818663 52.2679818018018, 5.071612939406121 52.2679818018018, 5.071612939406121 52.26618))"
"POLYGON ((5.074564209818663 52.26618, 5.077515480231206 52.26618, 5.077515480231206 52.2679818018018, 5.074564209818663 52.2679818018018, 5.074564209818663 52.26618))"
"POLYGON ((5.077515480231206 52.26618, 5.080466750643748 52.26618, 5.080466750643748 52.2679818018018, 5.077515480231206 52.2679818018018, 5.077515480231206 52.26618))"
"POLYGON ((5.080466750643748 52.26618, 5.083418021056291 52.26618, 5.083418021056291 52.2679818018018, 5.080466750643748 52.2679818018018, 5.080466750643748 52.26618))"
"POLYGON ((5.083418021056291 52.26618, 5.086369291468833 52.26618, 5.086369291468833 52.2679818018018, 5.083418021056291 52.2679818018018, 5.083418021056291 52.26618))"
"POLYGON ((5.086369291468833 52.26618, 5.089320561881376 52.26618, 5.089320561881376 52.2679818018018, 5.086369291468833 52.2679818018018, 5.086369291468833 52.26618))"
"POLYGON ((5.089320561881376 52.26618, 5.092271832293918 52.26618, 5.092271832293918 52.2679818018018, 5.089320561881376 52.2679818018018, 5.089320561881376 52.26618))"
"POLYGON ((5.092271832293918 52.26618, 5.095223102706461 52.26618, 5.095223102706461 52.2679818018018, 5.092271832293918 52.2679818018018, 5.092271832293918 52.26618))"
"POLYGON ((5.095223102706461 52.26618, 5.0981743731190035 52.26618, 5.0981743731190035 52.2679818018018, 5.095223102706461 52.2679818018018, 5.095223102706461 52.26618))"
"POLYGON ((5.0981743731190035 52.26618, 5.101125643531546 52.26618, 5.101125643531546 52.2679818018018, 5.0981743731190035 52.2679818018018, 5.0981743731190035 52.26618))"
"POLYGON ((5.101125643531546 52.26618, 5.1040769139440885 52.26618, 5.1040769139440885 52.2679818018018, 5.101125643531546 52.2679818018018, 5.101125643531546 52.26618))"
"POLYGON ((5.1040769139440885 52.26618, 5.107028184356631 52.26618, 5.107028184356631 52.2679818018018, 5.1040769139440885 52.2679818018018, 5.1040769139440885 52.26618))"
"POLYGON ((5.107028184356631 52.26618, 5.1099794547691735 52.26618, 5.1099794547691735 52.2679818018018, 5.107028184356631 52.2679818018018, 5.107028184356631 52.26618))"
"POLYGON ((5.1099794547691735 52.26618, 5.112930725181716 52.26618, 5.112930725181716 52.2679818018018, 5.1099794547691735 52.2679818018018, 5.1099794547691735 52.26618))"
"POLYGON ((5.112930725181716 52.26618, 5.1158819955942585 52.26618, 5.1158819955942585 52.2679818018018, 5.112930725181716 52.2679818018018, 5.112930725181716 52.26618))"
"POLYGON ((5.1158819955942585 52.26618, 5.118833266006801 52.26618, 5.118833266006801 52.2679818018018, 5.1158819955942585 52.2679818018018, 5.1158819955942585 52.26618))"
"POLYGON ((5.118833266006801 52.26618, 5.1217845364193435 52.26618, 5.1217845364193435 52.2679818018018, 5.118833266006801 52.2679818018018, 5.118833266006801 52.26618))"
"POLYGON ((5.1217845364193435 52.26618, 5.124735806831886 52.26618, 5.124735806831886 52.2679818018018, 5.1217845364193435 52.2679818018018, 5.1217845364193435 52.26618))"
