id,service_area,geometry,zipcode
273,Aalsmeer,"POLYGON ((4.707284695000999 52.24975931577981, 4.7102324240854685 52.24975931577981, 4.7102324240854685 52.24795751397801, 4.707284695000999 52.24795751397801, 4.707284695000999 52.24975931577981))",1431
274,Aalsmeer,"POLYGON ((4.707284695000999 52.251561117581616, 4.7102324240854685 52.251561117581616, 4.7102324240854685 52.24975931577981, 4.707284695000999 52.24975931577981, 4.707284695000999 52.251561117581616))",1431
390,Aalsmeer,"POLYGON ((4.7102324240854685 52.23534490136538, 4.7131801531699375 52.23534490136538, 4.7131801531699375 52.233543099563576, 4.7102324240854685 52.233543099563576, 4.7102324240854685 52.23534490136538))",1433
391,Aalsmeer,"POLYGON ((4.7102324240854685 52.237146703167184, 4.7131801531699375 52.237146703167184, 4.7131801531699375 52.23534490136538, 4.7102324240854685 52.23534490136538, 4.7102324240854685 52.237146703167184))",1433
392,Aalsmeer,"POLYGON ((4.7102324240854685 52.23894850496899, 4.7131801531699375 52.23894850496899, 4.7131801531699375 52.237146703167184, 4.7102324240854685 52.237146703167184, 4.7102324240854685 52.23894850496899))",1433
393,Aalsmeer,"POLYGON ((4.7102324240854685 52.24075030677079, 4.7131801531699375 52.24075030677079, 4.7131801531699375 52.23894850496899, 4.7102324240854685 52.23894850496899, 4.7102324240854685 52.24075030677079))",1433
394,Aalsmeer,"POLYGON ((4.7102324240854685 52.242552108572596, 4.7131801531699375 52.242552108572596, 4.7131801531699375 52.24075030677079, 4.7102324240854685 52.24075030677079, 4.7102324240854685 52.242552108572596))",1431
395,Aalsmeer,"POLYGON ((4.7102324240854685 52.2443539103744, 4.7131801531699375 52.2443539103744, 4.7131801531699375 52.242552108572596, 4.7102324240854685 52.242552108572596, 4.7102324240854685 52.2443539103744))",1431
396,Aalsmeer,"POLYGON ((4.7102324240854685 52.246155712176204, 4.7131801531699375 52.246155712176204, 4.7131801531699375 52.2443539103744, 4.7102324240854685 52.2443539103744, 4.7102324240854685 52.246155712176204))",1431
397,Aalsmeer,"POLYGON ((4.7102324240854685 52.24795751397801, 4.7131801531699375 52.24795751397801, 4.7131801531699375 52.246155712176204, 4.7102324240854685 52.246155712176204, 4.7102324240854685 52.24795751397801))",1431
398,Aalsmeer,"POLYGON ((4.7102324240854685 52.24975931577981, 4.7131801531699375 52.24975931577981, 4.7131801531699375 52.24795751397801, 4.7102324240854685 52.24795751397801, 4.7102324240854685 52.24975931577981))",1431
399,Aalsmeer,"POLYGON ((4.7102324240854685 52.251561117581616, 4.7131801531699375 52.251561117581616, 4.7131801531699375 52.24975931577981, 4.7102324240854685 52.24975931577981, 4.7102324240854685 52.251561117581616))",1431
400,Aalsmeer,"POLYGON ((4.7102324240854685 52.25336291938342, 4.7131801531699375 52.25336291938342, 4.7131801531699375 52.251561117581616, 4.7102324240854685 52.251561117581616, 4.7102324240854685 52.25336291938342))",1431
515,Aalsmeer,"POLYGON ((4.7131801531699375 52.23534490136538, 4.716127882254407 52.23534490136538, 4.716127882254407 52.233543099563576, 4.7131801531699375 52.233543099563576, 4.7131801531699375 52.23534490136538))",1433
516,Aalsmeer,"POLYGON ((4.7131801531699375 52.237146703167184, 4.716127882254407 52.237146703167184, 4.716127882254407 52.23534490136538, 4.7131801531699375 52.23534490136538, 4.7131801531699375 52.237146703167184))",1433
517,Aalsmeer,"POLYGON ((4.7131801531699375 52.23894850496899, 4.716127882254407 52.23894850496899, 4.716127882254407 52.237146703167184, 4.7131801531699375 52.237146703167184, 4.7131801531699375 52.23894850496899))",1433
518,Aalsmeer,"POLYGON ((4.7131801531699375 52.24075030677079, 4.716127882254407 52.24075030677079, 4.716127882254407 52.23894850496899, 4.7131801531699375 52.23894850496899, 4.7131801531699375 52.24075030677079))",1433
519,Aalsmeer,"POLYGON ((4.7131801531699375 52.242552108572596, 4.716127882254407 52.242552108572596, 4.716127882254407 52.24075030677079, 4.7131801531699375 52.24075030677079, 4.7131801531699375 52.242552108572596))",1431
520,Aalsmeer,"POLYGON ((4.7131801531699375 52.2443539103744, 4.716127882254407 52.2443539103744, 4.716127882254407 52.242552108572596, 4.7131801531699375 52.242552108572596, 4.7131801531699375 52.2443539103744))",1431
521,Aalsmeer,"POLYGON ((4.7131801531699375 52.246155712176204, 4.716127882254407 52.246155712176204, 4.716127882254407 52.2443539103744, 4.7131801531699375 52.2443539103744, 4.7131801531699375 52.246155712176204))",1431
522,Aalsmeer,"POLYGON ((4.7131801531699375 52.24795751397801, 4.716127882254407 52.24795751397801, 4.716127882254407 52.246155712176204, 4.7131801531699375 52.246155712176204, 4.7131801531699375 52.24795751397801))",1431
523,Aalsmeer,"POLYGON ((4.7131801531699375 52.24975931577981, 4.716127882254407 52.24975931577981, 4.716127882254407 52.24795751397801, 4.7131801531699375 52.24795751397801, 4.7131801531699375 52.24975931577981))",1431
524,Aalsmeer,"POLYGON ((4.7131801531699375 52.251561117581616, 4.716127882254407 52.251561117581616, 4.716127882254407 52.24975931577981, 4.7131801531699375 52.24975931577981, 4.7131801531699375 52.251561117581616))",1431
525,Aalsmeer,"POLYGON ((4.7131801531699375 52.25336291938342, 4.716127882254407 52.25336291938342, 4.716127882254407 52.251561117581616, 4.7131801531699375 52.251561117581616, 4.7131801531699375 52.25336291938342))",1431
526,Aalsmeer,"POLYGON ((4.7131801531699375 52.255164721185224, 4.716127882254407 52.255164721185224, 4.716127882254407 52.25336291938342, 4.7131801531699375 52.25336291938342, 4.7131801531699375 52.255164721185224))",1431
640,Aalsmeer,"POLYGON ((4.716127882254407 52.23534490136538, 4.719075611338876 52.23534490136538, 4.719075611338876 52.233543099563576, 4.716127882254407 52.233543099563576, 4.716127882254407 52.23534490136538))",1433
641,Aalsmeer,"POLYGON ((4.716127882254407 52.237146703167184, 4.719075611338876 52.237146703167184, 4.719075611338876 52.23534490136538, 4.716127882254407 52.23534490136538, 4.716127882254407 52.237146703167184))",1433
642,Aalsmeer,"POLYGON ((4.716127882254407 52.23894850496899, 4.719075611338876 52.23894850496899, 4.719075611338876 52.237146703167184, 4.716127882254407 52.237146703167184, 4.716127882254407 52.23894850496899))",1433
643,Aalsmeer,"POLYGON ((4.716127882254407 52.24075030677079, 4.719075611338876 52.24075030677079, 4.719075611338876 52.23894850496899, 4.716127882254407 52.23894850496899, 4.716127882254407 52.24075030677079))",1433
644,Aalsmeer,"POLYGON ((4.716127882254407 52.242552108572596, 4.719075611338876 52.242552108572596, 4.719075611338876 52.24075030677079, 4.716127882254407 52.24075030677079, 4.716127882254407 52.242552108572596))",1433
645,Aalsmeer,"POLYGON ((4.716127882254407 52.2443539103744, 4.719075611338876 52.2443539103744, 4.719075611338876 52.242552108572596, 4.716127882254407 52.242552108572596, 4.716127882254407 52.2443539103744))",1431
646,Aalsmeer,"POLYGON ((4.716127882254407 52.246155712176204, 4.719075611338876 52.246155712176204, 4.719075611338876 52.2443539103744, 4.716127882254407 52.2443539103744, 4.716127882254407 52.246155712176204))",1431
647,Aalsmeer,"POLYGON ((4.716127882254407 52.24795751397801, 4.719075611338876 52.24795751397801, 4.719075611338876 52.246155712176204, 4.716127882254407 52.246155712176204, 4.716127882254407 52.24795751397801))",1431
648,Aalsmeer,"POLYGON ((4.716127882254407 52.24975931577981, 4.719075611338876 52.24975931577981, 4.719075611338876 52.24795751397801, 4.716127882254407 52.24795751397801, 4.716127882254407 52.24975931577981))",1431
649,Aalsmeer,"POLYGON ((4.716127882254407 52.251561117581616, 4.719075611338876 52.251561117581616, 4.719075611338876 52.24975931577981, 4.716127882254407 52.24975931577981, 4.716127882254407 52.251561117581616))",1431
650,Aalsmeer,"POLYGON ((4.716127882254407 52.25336291938342, 4.719075611338876 52.25336291938342, 4.719075611338876 52.251561117581616, 4.716127882254407 52.251561117581616, 4.716127882254407 52.25336291938342))",1431
651,Aalsmeer,"POLYGON ((4.716127882254407 52.255164721185224, 4.719075611338876 52.255164721185224, 4.719075611338876 52.25336291938342, 4.716127882254407 52.25336291938342, 4.716127882254407 52.255164721185224))",1431
652,Aalsmeer,"POLYGON ((4.716127882254407 52.25696652298703, 4.719075611338876 52.25696652298703, 4.719075611338876 52.255164721185224, 4.716127882254407 52.255164721185224, 4.716127882254407 52.25696652298703))",1431
764,Aalsmeer,"POLYGON ((4.719075611338876 52.233543099563576, 4.722023340423345 52.233543099563576, 4.722023340423345 52.23174129776177, 4.719075611338876 52.23174129776177, 4.719075611338876 52.233543099563576))",
765,Aalsmeer,"POLYGON ((4.719075611338876 52.23534490136538, 4.722023340423345 52.23534490136538, 4.722023340423345 52.233543099563576, 4.719075611338876 52.233543099563576, 4.719075611338876 52.23534490136538))",1433
766,Aalsmeer,"POLYGON ((4.719075611338876 52.237146703167184, 4.722023340423345 52.237146703167184, 4.722023340423345 52.23534490136538, 4.719075611338876 52.23534490136538, 4.719075611338876 52.237146703167184))",1433
767,Aalsmeer,"POLYGON ((4.719075611338876 52.23894850496899, 4.722023340423345 52.23894850496899, 4.722023340423345 52.237146703167184, 4.719075611338876 52.237146703167184, 4.719075611338876 52.23894850496899))",1433
768,Aalsmeer,"POLYGON ((4.719075611338876 52.24075030677079, 4.722023340423345 52.24075030677079, 4.722023340423345 52.23894850496899, 4.719075611338876 52.23894850496899, 4.719075611338876 52.24075030677079))",1433
769,Aalsmeer,"POLYGON ((4.719075611338876 52.242552108572596, 4.722023340423345 52.242552108572596, 4.722023340423345 52.24075030677079, 4.719075611338876 52.24075030677079, 4.719075611338876 52.242552108572596))",1433
770,Aalsmeer,"POLYGON ((4.719075611338876 52.2443539103744, 4.722023340423345 52.2443539103744, 4.722023340423345 52.242552108572596, 4.719075611338876 52.242552108572596, 4.719075611338876 52.2443539103744))",1431
771,Aalsmeer,"POLYGON ((4.719075611338876 52.246155712176204, 4.722023340423345 52.246155712176204, 4.722023340423345 52.2443539103744, 4.719075611338876 52.2443539103744, 4.719075611338876 52.246155712176204))",1431
772,Aalsmeer,"POLYGON ((4.719075611338876 52.24795751397801, 4.722023340423345 52.24795751397801, 4.722023340423345 52.246155712176204, 4.719075611338876 52.246155712176204, 4.719075611338876 52.24795751397801))",1431
773,Aalsmeer,"POLYGON ((4.719075611338876 52.24975931577981, 4.722023340423345 52.24975931577981, 4.722023340423345 52.24795751397801, 4.719075611338876 52.24795751397801, 4.719075611338876 52.24975931577981))",1431
774,Aalsmeer,"POLYGON ((4.719075611338876 52.251561117581616, 4.722023340423345 52.251561117581616, 4.722023340423345 52.24975931577981, 4.719075611338876 52.24975931577981, 4.719075611338876 52.251561117581616))",1431
775,Aalsmeer,"POLYGON ((4.719075611338876 52.25336291938342, 4.722023340423345 52.25336291938342, 4.722023340423345 52.251561117581616, 4.719075611338876 52.251561117581616, 4.719075611338876 52.25336291938342))",1431
776,Aalsmeer,"POLYGON ((4.719075611338876 52.255164721185224, 4.722023340423345 52.255164721185224, 4.722023340423345 52.25336291938342, 4.719075611338876 52.25336291938342, 4.719075611338876 52.255164721185224))",1431
777,Aalsmeer,"POLYGON ((4.719075611338876 52.25696652298703, 4.722023340423345 52.25696652298703, 4.722023340423345 52.255164721185224, 4.719075611338876 52.255164721185224, 4.719075611338876 52.25696652298703))",1431
778,Aalsmeer,"POLYGON ((4.719075611338876 52.25876832478883, 4.722023340423345 52.25876832478883, 4.722023340423345 52.25696652298703, 4.719075611338876 52.25696652298703, 4.719075611338876 52.25876832478883))",1431
880,Aalsmeer,"POLYGON ((4.722023340423345 52.21732688334734, 4.724971069507814 52.21732688334734, 4.724971069507814 52.215525081545536, 4.722023340423345 52.215525081545536, 4.722023340423345 52.21732688334734))",
882,Aalsmeer,"POLYGON ((4.722023340423345 52.22093048695095, 4.724971069507814 52.22093048695095, 4.724971069507814 52.219128685149144, 4.722023340423345 52.219128685149144, 4.722023340423345 52.22093048695095))",
883,Aalsmeer,"POLYGON ((4.722023340423345 52.22273228875275, 4.724971069507814 52.22273228875275, 4.724971069507814 52.22093048695095, 4.722023340423345 52.22093048695095, 4.722023340423345 52.22273228875275))",1433
884,Aalsmeer,"POLYGON ((4.722023340423345 52.224534090554556, 4.724971069507814 52.224534090554556, 4.724971069507814 52.22273228875275, 4.722023340423345 52.22273228875275, 4.722023340423345 52.224534090554556))",1433
885,Aalsmeer,"POLYGON ((4.722023340423345 52.22633589235636, 4.724971069507814 52.22633589235636, 4.724971069507814 52.224534090554556, 4.722023340423345 52.224534090554556, 4.722023340423345 52.22633589235636))",
889,Aalsmeer,"POLYGON ((4.722023340423345 52.233543099563576, 4.724971069507814 52.233543099563576, 4.724971069507814 52.23174129776177, 4.722023340423345 52.23174129776177, 4.722023340423345 52.233543099563576))",
890,Aalsmeer,"POLYGON ((4.722023340423345 52.23534490136538, 4.724971069507814 52.23534490136538, 4.724971069507814 52.233543099563576, 4.722023340423345 52.233543099563576, 4.722023340423345 52.23534490136538))",1433
891,Aalsmeer,"POLYGON ((4.722023340423345 52.237146703167184, 4.724971069507814 52.237146703167184, 4.724971069507814 52.23534490136538, 4.722023340423345 52.23534490136538, 4.722023340423345 52.237146703167184))",1433
892,Aalsmeer,"POLYGON ((4.722023340423345 52.23894850496899, 4.724971069507814 52.23894850496899, 4.724971069507814 52.237146703167184, 4.722023340423345 52.237146703167184, 4.722023340423345 52.23894850496899))",1433
893,Aalsmeer,"POLYGON ((4.722023340423345 52.24075030677079, 4.724971069507814 52.24075030677079, 4.724971069507814 52.23894850496899, 4.722023340423345 52.23894850496899, 4.722023340423345 52.24075030677079))",1433
894,Aalsmeer,"POLYGON ((4.722023340423345 52.242552108572596, 4.724971069507814 52.242552108572596, 4.724971069507814 52.24075030677079, 4.722023340423345 52.24075030677079, 4.722023340423345 52.242552108572596))",1433
895,Aalsmeer,"POLYGON ((4.722023340423345 52.2443539103744, 4.724971069507814 52.2443539103744, 4.724971069507814 52.242552108572596, 4.722023340423345 52.242552108572596, 4.722023340423345 52.2443539103744))",1433
896,Aalsmeer,"POLYGON ((4.722023340423345 52.246155712176204, 4.724971069507814 52.246155712176204, 4.724971069507814 52.2443539103744, 4.722023340423345 52.2443539103744, 4.722023340423345 52.246155712176204))",1431
897,Aalsmeer,"POLYGON ((4.722023340423345 52.24795751397801, 4.724971069507814 52.24795751397801, 4.724971069507814 52.246155712176204, 4.722023340423345 52.246155712176204, 4.722023340423345 52.24795751397801))",1431
898,Aalsmeer,"POLYGON ((4.722023340423345 52.24975931577981, 4.724971069507814 52.24975931577981, 4.724971069507814 52.24795751397801, 4.722023340423345 52.24795751397801, 4.722023340423345 52.24975931577981))",1431
899,Aalsmeer,"POLYGON ((4.722023340423345 52.251561117581616, 4.724971069507814 52.251561117581616, 4.724971069507814 52.24975931577981, 4.722023340423345 52.24975931577981, 4.722023340423345 52.251561117581616))",1431
900,Aalsmeer,"POLYGON ((4.722023340423345 52.25336291938342, 4.724971069507814 52.25336291938342, 4.724971069507814 52.251561117581616, 4.722023340423345 52.251561117581616, 4.722023340423345 52.25336291938342))",1431
901,Aalsmeer,"POLYGON ((4.722023340423345 52.255164721185224, 4.724971069507814 52.255164721185224, 4.724971069507814 52.25336291938342, 4.722023340423345 52.25336291938342, 4.722023340423345 52.255164721185224))",1431
902,Aalsmeer,"POLYGON ((4.722023340423345 52.25696652298703, 4.724971069507814 52.25696652298703, 4.724971069507814 52.255164721185224, 4.722023340423345 52.255164721185224, 4.722023340423345 52.25696652298703))",1431
903,Aalsmeer,"POLYGON ((4.722023340423345 52.25876832478883, 4.724971069507814 52.25876832478883, 4.724971069507814 52.25696652298703, 4.722023340423345 52.25696652298703, 4.722023340423345 52.25876832478883))",1431
904,Aalsmeer,"POLYGON ((4.722023340423345 52.260570126590636, 4.724971069507814 52.260570126590636, 4.724971069507814 52.25876832478883, 4.722023340423345 52.25876832478883, 4.722023340423345 52.260570126590636))",1431
1003,Aalsmeer,"POLYGON ((4.724971069507814 52.21372327974373, 4.727918798592283 52.21372327974373, 4.727918798592283 52.21192147794193, 4.724971069507814 52.21192147794193, 4.724971069507814 52.21372327974373))",
1004,Aalsmeer,"POLYGON ((4.724971069507814 52.215525081545536, 4.727918798592283 52.215525081545536, 4.727918798592283 52.21372327974373, 4.724971069507814 52.21372327974373, 4.724971069507814 52.215525081545536))",
1005,Aalsmeer,"POLYGON ((4.724971069507814 52.21732688334734, 4.727918798592283 52.21732688334734, 4.727918798592283 52.215525081545536, 4.724971069507814 52.215525081545536, 4.724971069507814 52.21732688334734))",1424
1006,Aalsmeer,"POLYGON ((4.724971069507814 52.219128685149144, 4.727918798592283 52.219128685149144, 4.727918798592283 52.21732688334734, 4.724971069507814 52.21732688334734, 4.724971069507814 52.219128685149144))",1424
1007,Aalsmeer,"POLYGON ((4.724971069507814 52.22093048695095, 4.727918798592283 52.22093048695095, 4.727918798592283 52.219128685149144, 4.724971069507814 52.219128685149144, 4.724971069507814 52.22093048695095))",1433
1008,Aalsmeer,"POLYGON ((4.724971069507814 52.22273228875275, 4.727918798592283 52.22273228875275, 4.727918798592283 52.22093048695095, 4.724971069507814 52.22093048695095, 4.724971069507814 52.22273228875275))",1433
1009,Aalsmeer,"POLYGON ((4.724971069507814 52.224534090554556, 4.727918798592283 52.224534090554556, 4.727918798592283 52.22273228875275, 4.724971069507814 52.22273228875275, 4.724971069507814 52.224534090554556))",1433
1010,Aalsmeer,"POLYGON ((4.724971069507814 52.22633589235636, 4.727918798592283 52.22633589235636, 4.727918798592283 52.224534090554556, 4.724971069507814 52.224534090554556, 4.724971069507814 52.22633589235636))",1433
1011,Aalsmeer,"POLYGON ((4.724971069507814 52.228137694158164, 4.727918798592283 52.228137694158164, 4.727918798592283 52.22633589235636, 4.724971069507814 52.22633589235636, 4.724971069507814 52.228137694158164))",1433
1012,Aalsmeer,"POLYGON ((4.724971069507814 52.22993949595997, 4.727918798592283 52.22993949595997, 4.727918798592283 52.228137694158164, 4.724971069507814 52.228137694158164, 4.724971069507814 52.22993949595997))",1433
1013,Aalsmeer,"POLYGON ((4.724971069507814 52.23174129776177, 4.727918798592283 52.23174129776177, 4.727918798592283 52.22993949595997, 4.724971069507814 52.22993949595997, 4.724971069507814 52.23174129776177))",1433
1014,Aalsmeer,"POLYGON ((4.724971069507814 52.233543099563576, 4.727918798592283 52.233543099563576, 4.727918798592283 52.23174129776177, 4.724971069507814 52.23174129776177, 4.724971069507814 52.233543099563576))",1433
1015,Aalsmeer,"POLYGON ((4.724971069507814 52.23534490136538, 4.727918798592283 52.23534490136538, 4.727918798592283 52.233543099563576, 4.724971069507814 52.233543099563576, 4.724971069507814 52.23534490136538))",1433
1016,Aalsmeer,"POLYGON ((4.724971069507814 52.237146703167184, 4.727918798592283 52.237146703167184, 4.727918798592283 52.23534490136538, 4.724971069507814 52.23534490136538, 4.724971069507814 52.237146703167184))",1433
1017,Aalsmeer,"POLYGON ((4.724971069507814 52.23894850496899, 4.727918798592283 52.23894850496899, 4.727918798592283 52.237146703167184, 4.724971069507814 52.237146703167184, 4.724971069507814 52.23894850496899))",1433
1018,Aalsmeer,"POLYGON ((4.724971069507814 52.24075030677079, 4.727918798592283 52.24075030677079, 4.727918798592283 52.23894850496899, 4.724971069507814 52.23894850496899, 4.724971069507814 52.24075030677079))",1433
1019,Aalsmeer,"POLYGON ((4.724971069507814 52.242552108572596, 4.727918798592283 52.242552108572596, 4.727918798592283 52.24075030677079, 4.724971069507814 52.24075030677079, 4.724971069507814 52.242552108572596))",1433
1020,Aalsmeer,"POLYGON ((4.724971069507814 52.2443539103744, 4.727918798592283 52.2443539103744, 4.727918798592283 52.242552108572596, 4.724971069507814 52.242552108572596, 4.724971069507814 52.2443539103744))",1433
1021,Aalsmeer,"POLYGON ((4.724971069507814 52.246155712176204, 4.727918798592283 52.246155712176204, 4.727918798592283 52.2443539103744, 4.724971069507814 52.2443539103744, 4.724971069507814 52.246155712176204))",1431
1022,Aalsmeer,"POLYGON ((4.724971069507814 52.24795751397801, 4.727918798592283 52.24795751397801, 4.727918798592283 52.246155712176204, 4.724971069507814 52.246155712176204, 4.724971069507814 52.24795751397801))",1431
1023,Aalsmeer,"POLYGON ((4.724971069507814 52.24975931577981, 4.727918798592283 52.24975931577981, 4.727918798592283 52.24795751397801, 4.724971069507814 52.24795751397801, 4.724971069507814 52.24975931577981))",1431
1024,Aalsmeer,"POLYGON ((4.724971069507814 52.251561117581616, 4.727918798592283 52.251561117581616, 4.727918798592283 52.24975931577981, 4.724971069507814 52.24975931577981, 4.724971069507814 52.251561117581616))",1431
1025,Aalsmeer,"POLYGON ((4.724971069507814 52.25336291938342, 4.727918798592283 52.25336291938342, 4.727918798592283 52.251561117581616, 4.724971069507814 52.251561117581616, 4.724971069507814 52.25336291938342))",1431
1026,Aalsmeer,"POLYGON ((4.724971069507814 52.255164721185224, 4.727918798592283 52.255164721185224, 4.727918798592283 52.25336291938342, 4.724971069507814 52.25336291938342, 4.724971069507814 52.255164721185224))",1431
1027,Aalsmeer,"POLYGON ((4.724971069507814 52.25696652298703, 4.727918798592283 52.25696652298703, 4.727918798592283 52.255164721185224, 4.724971069507814 52.255164721185224, 4.724971069507814 52.25696652298703))",1431
1028,Aalsmeer,"POLYGON ((4.724971069507814 52.25876832478883, 4.727918798592283 52.25876832478883, 4.727918798592283 52.25696652298703, 4.724971069507814 52.25696652298703, 4.724971069507814 52.25876832478883))",1431
1029,Aalsmeer,"POLYGON ((4.724971069507814 52.260570126590636, 4.727918798592283 52.260570126590636, 4.727918798592283 52.25876832478883, 4.724971069507814 52.25876832478883, 4.724971069507814 52.260570126590636))",1431
1030,Aalsmeer,"POLYGON ((4.724971069507814 52.26237192839244, 4.727918798592283 52.26237192839244, 4.727918798592283 52.260570126590636, 4.724971069507814 52.260570126590636, 4.724971069507814 52.26237192839244))",1431
1031,Aalsmeer,"POLYGON ((4.724971069507814 52.264173730194244, 4.727918798592283 52.264173730194244, 4.727918798592283 52.26237192839244, 4.724971069507814 52.26237192839244, 4.724971069507814 52.264173730194244))",1431
1127,Aalsmeer,"POLYGON ((4.727918798592283 52.21192147794193, 4.730866527676752 52.21192147794193, 4.730866527676752 52.210119676140124, 4.727918798592283 52.210119676140124, 4.727918798592283 52.21192147794193))",
1128,Aalsmeer,"POLYGON ((4.727918798592283 52.21372327974373, 4.730866527676752 52.21372327974373, 4.730866527676752 52.21192147794193, 4.727918798592283 52.21192147794193, 4.727918798592283 52.21372327974373))",
1129,Aalsmeer,"POLYGON ((4.727918798592283 52.215525081545536, 4.730866527676752 52.215525081545536, 4.730866527676752 52.21372327974373, 4.727918798592283 52.21372327974373, 4.727918798592283 52.215525081545536))",
1130,Aalsmeer,"POLYGON ((4.727918798592283 52.21732688334734, 4.730866527676752 52.21732688334734, 4.730866527676752 52.215525081545536, 4.727918798592283 52.215525081545536, 4.727918798592283 52.21732688334734))",1424
1131,Aalsmeer,"POLYGON ((4.727918798592283 52.219128685149144, 4.730866527676752 52.219128685149144, 4.730866527676752 52.21732688334734, 4.727918798592283 52.21732688334734, 4.727918798592283 52.219128685149144))",1424
1132,Aalsmeer,"POLYGON ((4.727918798592283 52.22093048695095, 4.730866527676752 52.22093048695095, 4.730866527676752 52.219128685149144, 4.727918798592283 52.219128685149144, 4.727918798592283 52.22093048695095))",1424
1133,Aalsmeer,"POLYGON ((4.727918798592283 52.22273228875275, 4.730866527676752 52.22273228875275, 4.730866527676752 52.22093048695095, 4.727918798592283 52.22093048695095, 4.727918798592283 52.22273228875275))",1433
1134,Aalsmeer,"POLYGON ((4.727918798592283 52.224534090554556, 4.730866527676752 52.224534090554556, 4.730866527676752 52.22273228875275, 4.727918798592283 52.22273228875275, 4.727918798592283 52.224534090554556))",1433
